Application ID,Application Description,Lots,DECISION,Approval Date,Approval Year,locality,legal_description,Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,formatted_address,Determined By,TR TYPE,Charge Amount,Reference
DA23/0300,use of existing mezzanine level within a public administration building,1,Approved,2023-08-08,2023,KINGSCLIFF,Lot 4 DP 1256458,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,114.98,0,,,,,0,62 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,68.97,
DA23/0300,use of existing mezzanine level within a public administration building,1,Approved,2023-08-08,2023,KINGSCLIFF,Lot 4 DP 1256458,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-114.97999999999999,DA23/0300 (40% Emp Gen Discount)JT,,,0,62 Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,68.97,DA23/0300 (40% Emp Gen Discount)JT
DA23/0068,alterations and additions to existing dwelling including an in-ground swimming pool,1,Approved,2023-03-29,2023,KINGSCLIFF,Lot 48 DP 879147,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,,,-663.54,0,,,0,41 Kingfisher Circuit KINGSCLIFF NSW 2487,Council,PAID,663.54,
DA23/0068,alterations and additions to existing dwelling including an in-ground swimming pool,1,Approved,2023-03-29,2023,KINGSCLIFF,Lot 48 DP 879147,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,663.54,0,,,,,0,41 Kingfisher Circuit KINGSCLIFF NSW 2487,Council,LEVIED,663.54,
DA22/0808,alterations and additions to an existing dwelling including carport forward of the building line,1,Approved,2023-02-27,2023,KINGSCLIFF,Lot 184 DP 852230,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,222.1,0,,,,,222.1,23 Monarch Drive KINGSCLIFF NSW 2487,Council,LEVIED,222.1,
DA22/0724,"alterations and additions to Victory Group vehicle dealership including partial demolition and renovation of the existing workshop, expansion and renovation of the MG/LDV/Isuzu showroom, new MG/LDV/Isuzu service office, expansion and renovation of the Ford showroom, service office and combined service workshop, increase in the number of vehicle service bays, new service drive through, car park and vehicle display reconfiguration, relocation of existing signage and one new sign and lot consolidation",5,Approved,2023-07-26,2023,TWEED HEADS SOUTH,Lots 3-4 DP 30841 Lot 1 DP 810555,S94-04,Roads,S94-04 - Road Contribution Sector 02,37866.1,0,,,,,0,10-20 Minjungbal Drive TWEED HEADS SOUTH NSW 2486,Council,LEVIED,22720.12,
DA22/0724,"alterations and additions to Victory Group vehicle dealership including partial demolition and renovation of the existing workshop, expansion and renovation of the MG/LDV/Isuzu showroom, new MG/LDV/Isuzu service office, expansion and renovation of the Ford showroom, service office and combined service workshop, increase in the number of vehicle service bays, new service drive through, car park and vehicle display reconfiguration, relocation of existing signage and one new sign and lot consolidation",5,Approved,2023-07-26,2023,TWEED HEADS SOUTH,Lots 3-4 DP 30841 Lot 1 DP 810555,S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-37866.1,DA22/0724 (40% Emp Gen Discount)JT,,,0,10-20 Minjungbal Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,22720.12,DA22/0724 (40% Emp Gen Discount)JT
DA22/0678,alterations and additions to existing dwelling including in-ground swimming pool and carport within the front building line,1,Approved,2023-03-24,2023,KINGSCLIFF,Lot 61 DP 249140,S94-07,Drainage,S94-07 - West Kcliff Community Drainage,457.1,0,,,,,457.1,21 Surf Street KINGSCLIFF NSW 2487,Council,LEVIED,457.1,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-01,Open Space,S94-01 - Casual Open Space (no dedication),2437.87,0,,,,,2437.87,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,2437.87,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-01,Open Space,S94-01 - Structured Open Space,3462.6,0,,,,,3462.6,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,3462.6,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-02,Drainage,S94-02 - THS Drainage,864.96,0,,,,,864.96,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,864.96,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-04,Roads,S94-04 - Road Contribution Sector 02,2389.6,0,,,,,2389.6,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,2389.6,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-11,Community Facilities,S94-11 - Library Facilities,910.85,0,,,,,910.85,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,910.85,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-12,Roads,S94-12 - Bus Shelters,65.46,0,,,,,65.46,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,65.46,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-13,Other,S94-13 - Eviron Cemetery,121.3,0,,,,,121.3,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,121.3,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1621.11,0,,,,,1621.11,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,1621.11,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-18,Other,S94-18 - Council Admin/Support Facilities,1963.59,0,,,,,1963.59,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,1963.59,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-22,Roads,S94-22 - Cycleways,487.3,0,,,,,487.3,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,487.3,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-26,Open Space,S94-26 - Casual Open Space (Regional),1124.94,0,,,,,1124.94,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,1124.94,
DA22/0628,dual occupancy (attached),1,Approved,2023-09-01,2023,TWEED HEADS SOUTH,Lot 156 DP 1281855,S94-26,Open Space,S94-26 - Structured Open Space (Regional),3948.51,0,,,,,3948.51,6 Tucana Close TWEED HEADS SOUTH NSW 2486,Council,LEVIED,3948.51,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-04,Roads,S94-04 - Road Contribution LCA4,2380.54,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,2380.54,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-04,Roads,S94-04 - Road Contribution LCA4,,,-2380.54,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,2380.54,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,2075.95,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,2075.95,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,,,-2075.95,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,2075.95,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-11,Community Facilities,S94-11 - Library Facilities,910.85,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,910.85,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-11,Community Facilities,S94-11 - Library Facilities,,,-910.85,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,910.85,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-12,Roads,S94-12 - Bus Shelters,65.46,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,65.46,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-12,Roads,S94-12 - Bus Shelters,,,-65.46,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,65.46,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-13,Other,S94-13 - Eviron Cemetery,,,-121.3,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,121.3,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-13,Other,S94-13 - Eviron Cemetery,121.3,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,121.3,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-18,Other,S94-18 - Council Admin/Support Facilities,1963.59,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,1963.59,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1963.59,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,1963.59,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-19,Open Space,S94-19 - Casuarina Beach - Open Space,1715.49,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,1715.49,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-19,Open Space,S94-19 - Casuarina Beach - Open Space,,,-1715.49,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,1715.49,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-19,Community Facilities,S94-19 -Casuarina Beach - Comm Fac,,,-2431.47,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,2431.47,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-19,Community Facilities,S94-19 -Casuarina Beach - Comm Fac,2431.47,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,2431.47,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-22,Roads,S94-22 - Cycleways,,,-487.3,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,487.3,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-22,Roads,S94-22 - Cycleways,487.3,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,487.3,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-26,Open Space,S94-26 - Casual Open Space (Regional),1124.94,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,1124.94,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1124.94,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,1124.94,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3948.51,0,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,3948.51,
DA22/0622,dual occupancy (attached) and associated swimming pools,2,Approved,2023-08-16,2023,CASUARINA,Lot 86 DP 1264557,S94-26,Open Space,S94-26 - Structured Open Space (Regional),3948.51,0,,,,,0,44 Black Wattle Circuit CASUARINA NSW 2487,Council,LEVIED,3948.51,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-01,Open Space,S94-01 - Casual Open Space (no dedication),2031.56,0,,,,,2031.56,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,2031.56,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-01,Open Space,S94-01 - Structured Open Space,2885.5,0,,,,,2885.5,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,2885.5,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-02,Drainage,S94-02 - THS Drainage,398.72,0,,,,,398.72,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,398.72,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-04,Roads,S94-04 - Road Contribution Sector 02,2389.6,0,,,,,2389.6,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,2389.6,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-11,Community Facilities,S94-11 - Library Facilities,1062.66,0,,,,,1062.66,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,1062.66,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-12,Roads,S94-12 - Bus Shelters,76.37,0,,,,,76.37,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,76.37,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-13,Other,S94-13 - Eviron Cemetery,141.52,0,,,,,141.52,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,141.52,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1891.3,0,,,,,1891.3,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,1891.3,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-18,Other,S94-18 - Council Admin/Support Facilities,2290.85,0,,,,,2290.85,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,2290.85,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-22,Roads,S94-22 - Cycleways,568.52,0,,,,,568.52,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,568.52,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-26,Open Space,S94-26 - Casual Open Space (Regional),1312.43,0,,,,,1312.43,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,1312.43,
DA22/0567,detached dual occupancy & strata subdivision,2,Approved,2023-08-22,2023,BANORA POINT,Lot 805 DP 1019503,S94-26,Open Space,S94-26 - Structured Open Space (Regional),4606.59,0,,,,,4606.59,12 Firewheel Way BANORA POINT NSW 2486,Council,LEVIED,4606.59,
DA22/0546,demolition of existing buildings and erection of 12  light industrial units,11,Approved,2023-09-12,2023,TWEED HEADS,Lot 1 DP 542273,S94-04,Roads,S94-04 - Road Contribution Sector 01,,,-37155,DA22/0546 (40% Emp Gen Disc)JT,,,55732.4,1-9 Ourimbah Road TWEED HEADS NSW 2485,Council,PAID,92887.4,DA22/0546 (40% Emp Gen Disc)JT
DA22/0546,demolition of existing buildings and erection of 12  light industrial units,11,Approved,2023-09-12,2023,TWEED HEADS,Lot 1 DP 542273,S94-04,Roads,S94-04 - Road Contribution Sector 01,92887.4,0,,,,,55732.4,1-9 Ourimbah Road TWEED HEADS NSW 2485,Council,LEVIED,92887.4,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-04,Roads,S94-04 - Road Contribution Sector 02,8883,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,8883,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-8883,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,8883,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-05,Open Space,S94-05 - Casual Open Space (Local),573,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,573,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-573,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,573,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-05,Open Space,S94-05 - Structured Open Space (Local),656,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,656,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-656,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,656,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-11,Community Facilities,S94-11 - Library Facilities,,,-857,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,857,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-11,Community Facilities,S94-11 - Library Facilities,857,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,857,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-12,Roads,S94-12 - Bus Shelters,65,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,65,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-12,Roads,S94-12 - Bus Shelters,,,-65,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,65,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-13,Other,S94-13 - Eviron Cemetery,122,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,122,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-13,Other,S94-13 - Eviron Cemetery,,,-122,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,122,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1413,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,1413,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1413,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,1413,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1916.52,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,1916.52,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-18,Other,S94-18 - Council Admin/Support Facilities,1916.52,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,1916.52,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-22,Roads,S94-22 - Cycleways,,,-483,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,483,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-22,Roads,S94-22 - Cycleways,483,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,483,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1116,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,1116,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-26,Open Space,S94-26 - Casual Open Space (Regional),1116,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,1116,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-26,Open Space,S94-26 - Structured Open Space (Regional),3915,0,,,,,0,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,3915,
DA22/0452,two lot subdivision,2,Approved,2023-01-20,2023,BANORA POINT,Lot 10 DP 559683,S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3915,0,,,0,5A Peter Street BANORA POINT NSW 2486,Council,PAID,3915,
DA22/0424,"extension to storage premises, signage, additions to an existing storage building (Storage King) and use of existing temporary storage containers",1,Approved,2023-05-11,2023,TWEED HEADS,Lot 668 DP 755740,S94-04,Roads,S94-04 - Road Contribution Sector 01,72345.9,0,,,,,43407.9,65-67 Ourimbah Road TWEED HEADS NSW 2485,Council,LEVIED,43407.9,
DA22/0424,"extension to storage premises, signage, additions to an existing storage building (Storage King) and use of existing temporary storage containers",1,Approved,2023-05-11,2023,TWEED HEADS,Lot 668 DP 755740,S94-04,Roads,S94-04 - Road Contribution Sector 01,,,-28938,DA22/0424 (40% EMP GEN DEV discount) AM,,,43407.9,65-67 Ourimbah Road TWEED HEADS NSW 2485,Council,PAID,43407.9,DA22/0424 (40% EMP GEN DEV discount) AM
DA22/0424,"extension to storage premises, signage, additions to an existing storage building (Storage King) and use of existing temporary storage containers",1,Approved,2023-05-11,2023,TWEED HEADS,Lot 668 DP 755740,S94-18,Other,S94-18 - Council Admin/Support Facilities,3768.52,0,,,,,3768.52,65-67 Ourimbah Road TWEED HEADS NSW 2485,Council,LEVIED,3768.52,
DA22/0420,two lot subdivision,1,Approved,2023-01-10,2023,SOUTH MURWILLUMBAH,Lot 517 DP 1132400,S94-04,Roads,S94-04 - Road Contribution Sector 09,10432.5,0,,,,,10432.5,26-32 Honeyeater Circuit SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,10432.5,
DA22/0420,two lot subdivision,1,Approved,2023-01-10,2023,SOUTH MURWILLUMBAH,Lot 517 DP 1132400,S94-18,Other,S94-18 - Council Admin/Support Facilities,2252.11,0,,,,,2252.11,26-32 Honeyeater Circuit SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,2252.11,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-04,Roads,S94-04 - Road Contribution Sector 07 Duranbah/Caba,1813.5,0,,,,,1813.5,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,1813.5,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-05,Open Space,S94-05 - Casual Open Space (Local),732,0,,,,,732,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,732,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-05,Open Space,S94-05 - Structured Open Space (Local),838,0,,,,,838,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,838,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-11,Community Facilities,S94-11 - Library Facilities,1007,0,,,,,1007,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,1007,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-12,Roads,S94-12 - Bus Shelters,76,0,,,,,76,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,76,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-13,Other,S94-13 - Eviron Cemetery,143,0,,,,,143,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,143,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),2083,0,,,,,2083,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,2083,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-18,Other,S94-18 - Council Admin/Support Facilities,2252.11,0,,,,,2252.11,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,2252.11,
DA22/0393,"dual occupancy (detached), swimming pools, front fence & associated works",1,Approved,2023-06-29,2023,BOGANGAR,Lot 6 DP 1273771,S94-22,Roads,S94-22 - Cycleways,568,0,,,,,568,12 Kanooka Crescent BOGANGAR NSW 2488,Council,LEVIED,568,
